College,Major,Program,Course Prefix,Course Name,Color
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 425,Arboriculture,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,BRAE 405,Chemigation,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,MATH 118,Precalculus Algebra (B4) 1,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 234,Plant Materials II,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 340,Principles of Greenhouse Environment,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,SS 221,Soil Health and Plant Nutrition,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 351,Experimental Techniques and Analysis,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,CHEM 312,Survey of Organic Chemistry,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 120,Principles of Horticulture and Crop Science,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 461,Senior Project I,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS/BRAE 244,Precision Farming,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 431,Insect Pest Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 124,Plant Propagation,#ff99f1
